idCurso;Nombre;Creditos;Semestre
14;Economia;4;6
90;Programación de Computadoras 1 090;3;0
92;Programación de Computadoras 2;4;0
281;Sistemas Operativos 1;5;7
283;Analisis y Diseño de Sistemas 1;5;8
285;Sistemas Operativos 2;4;8
667;Programación Comercial 1;5;10
720;Modelación y Simulación 2;5;10
722;Teoria de Sistemas 1;5;6
724;Teoria de Sistemas 2;5;7
729;Modelacion y Simulación 1;5;9
770;Introducción a la Programación y Computación 1;4;3
771;Introducción a la Programación y Computación 2;5;4
772;Estructura de Datos;5;5
773;Manejo e Implementación de Archivos;4;6
774;Bases de Datos 1;5;7
775;Bases de Datos 2;4;8
777;Organización Lenguajes y Compiladores 1;4;5
778;Arquitectura de Computadoras y Ensambladores 1;5;6
779;Arquitectura de Computadoras y Ensambladores 2;4;7
780;Software Avanzado;6;10
781;Organización de Lenguajes y Compiladores 2;5;6
785;Analisis y Diseño de Sistemas 2;5;9
786;Sistemas Organizaciones y Gerenciales 1;4;9
787;Gerenciales 2;4;10
790;Emprendedores de Negocios Informáticos;4;10
795;Logica de Sistemas;2;3
796;Lenguajes Formales y de Programación;3;4
797;Seminario de Sistemas 1;3;8
798;Seminario de Sistemas 2;3;9
964;Organización Computacional;3;5
970;Redes de computadoras 1;4;7
972;Inteligencia Artificial 1;4;9
975;Redes de Computadoras 2;4;8
2025;Prácticas Iniciales;0;4
2036;Prácticas Intermedias;0;7
